,links
0,https://www.dr.dk/nyheder/regionale/oestjylland/sygeplejersker-siger-nej-til-job-paa-dagpenge
1,https://www.dr.dk/nyheder/regionale/sjaelland/lokalopgoer-om-toppost-hos-sygeplejerskerne
2,https://www.dr.dk/nyheder/live-dag-15-i-retssagen-mod-breivik
3,https://www.dr.dk/nyheder/regionale/oestjylland/rift-om-dansk-sundhedspersonale-i-dubai
4,https://www.dr.dk/nyheder/regionale/sjaelland/private-straalekanoner-i-naestved
5,https://www.dr.dk/nyheder/indland/ensomme-aeldre-skal-ud-i-lyset
6,https://www.dr.dk/nyheder/politik/slut-med-anbefale-koebesex-til-handicappede
7,https://www.dr.dk/nyheder/politik/boligejere-skal-betale-lavere-skat-paa-arbejde
8,https://www.dr.dk/nyheder/regionale/fyn/odense-giver-kerteminde-flere-borgere
9,https://www.dr.dk/nyheder/indland/konkurs-tvinger-lufthavn-til-fyre
20,https://www.dr.dk/nyheder/regionale/syd/region-syddanmark-er-bedst
21,https://www.dr.dk/nyheder/politik/enhedslisten-stiller-krav-til-skattereform
22,https://www.dr.dk/nyheder/udland/igen-blodig-uro-i-kairo
23,https://www.dr.dk/nyheder/video-1-maj-i-hele-verden
24,https://www.dr.dk/nyheder/indland/ringsted-direktoer-sluppet-ud-af-kina-lamslaaet-over-soevndal
25,https://www.dr.dk/nyheder/udland/livechat-naser-khader-og-steen-noerskov
26,https://www.dr.dk/Nyheder/Baggrund/2012/05/21083157.htm?focusId=3779120
27,https://www.dr.dk/nyheder/regionale/trekanten/hvide-kitler-indtager-vejle
28,https://www.dr.dk/nyheder/regionale/syd/masser-af-herreloese-katte
29,https://www.dr.dk/nyheder/regionale/midtvest/25-aar-med-marie-kiks
50,https://www.dr.dk/Nyheder/Baggrund/2012/05/18073659.htm?focusId=4101524
51,https://www.dr.dk/nyheder/regionale/hovedstadsomraadet/roskilde-kommune-frifundet-bestikkelse
52,https://www.dr.dk/nyheder/regionale/fyn/81-aarig-indebraendt
53,https://www.dr.dk/nyheder/regionale/sjaelland/spoerg-historien-uge-21-0
54,https://www.dr.dk/nyheder/politik/enhedslisten-kan-udloese-folkeafstemning
55,https://www.dr.dk/nyheder/regionale/oestjylland/ny-raadgivning-til-voldsramte-kvinder
56,https://www.dr.dk/Nyheder/Baggrund/2012/05/01164039.htm?focusId=3581143
57,https://www.dr.dk/nyheder/politik/regering-tager-til-fodbold-em-i-ukraine
58,https://www.dr.dk/nyheder/billedserie-17-maj-norge-i-festhumoer
59,https://www.dr.dk/nyheder/udland/prinsesse-estelle-er-baade-doebt-og-dekoreret
90,https://www.dr.dk/nyheder/kultur/kronprinsen-jeg-er-faerdig-med-undskylde
91,https://www.dr.dk/nyheder/politik/tidligere-foedevareminister-jeg-har-ikke-fjernet-noget-fra-mrsa-rapport
92,https://www.dr.dk/nyheder/politik/robinhood-aftale-moeder-skarp-kritik
93,https://www.dr.dk/nyheder/indland/aaberne-paa-twitter
94,https://www.dr.dk/nyheder/politik/boedskov-saa-aldrig-kritisk-banderapport
95,https://www.dr.dk/nyheder/regionale/fyn/formodet-morder-anholdt
