,links
282,https://www.dr.dk/nyheder/regionale/sjaelland/sfer-i-holbaek-bliver-loesgaenger
283,https://www.dr.dk/nyheder/politik/engell-nu-indgaar-regeringen-aftale-med-el
355,https://www.dr.dk/nyheder/indland/regning-laegebesoeg-kan-spare-milliarder
356,https://www.dr.dk/nyheder/billedserier/2012/06/06081804.htm?focusId=3546449
357,https://www.dr.dk/nyheder/regionale/hovedstadsomraadet/sundhedspersonale-paa-afvaenning
358,https://www.dr.dk/nyheder/billedserier/2012/06/23181550.htm?focusId=3540848
359,https://www.dr.dk/nyheder/regionale/syd/brugsen-i-toftlund-og-gram-er-paa-vej-mod-fusion
360,https://www.dr.dk/nyheder/politik/politikere-laeger-maa-genoverveje-deres-etik
361,https://www.dr.dk/nyheder/regionale/trekanten/muslimer-deltager-i-kristendomskundskab
362,https://www.dr.dk/nyheder/billedserie-festbaal-en-dronning
363,https://www.dr.dk/nyheder/politik/vaelgernes-tillid-til-politikerne-er-styrtdykket
364,https://www.dr.dk/nyheder/baggrund/2012/06/27/134242.htm?focusId=2741758
446,https://www.dr.dk/nyheder/regionale/oestjylland/skoler-lever-livet-farligt-i-sommerferien
447,https://www.dr.dk/nyheder/kultur/outlandish-bruger-musikken-som-dagbog
448,https://www.dr.dk/nyheder/indland/flere-boern-foedes-af-moedre-over-40-aar
449,https://www.dr.dk/nyheder/penge/investorer-elsker-danmark-obligationer-saelges-med-negativ-rente
450,https://www.dr.dk/nyheder/regionale/sproghjoernet-uge-23-2012
451,https://www.dr.dk/nyheder/kultur/paradise-hotel-og-borgen-bejler-til-tv-priser
452,https://www.dr.dk/Nyheder/Baggrund/2012/06/04110118.htm?focusId=3546583
453,https://www.dr.dk/nyheder/indland/akut-teams-skal-forhindre-indlaeggelser
454,https://www.dr.dk/nyheder/politik/gang-i-slutforhandlinger-om-endnu-et-stort-forlig
455,https://www.dr.dk/Nyheder/2012/06/13190459.htm?focusId=3867379
547,https://www.dr.dk/Nyheder/Baggrund/2012/06/04110118.htm?focusId=4286180
548,https://www.dr.dk/nyheder/politik/kritisk-sfer-jeg-stemmer-skatteaftalen
549,https://www.dr.dk/Nyheder/Billedserier/2012/06/17162650.htm?focusId=4216747
550,https://www.dr.dk/nyheder/regionale/bornholm/folkemoedet-er-ogsaa-boern
551,https://www.dr.dk/nyheder/billedserie-joachim-indvier-rovdyranlaeg-i-aalborg-zoo
552,https://www.dr.dk/nyheder/indland/slut-med-aaben-adgang-til-skadestuen
553,https://www.dr.dk/nyheder/indland/psykiatere-undlod-fortaelle-om-fejl
554,/search?biw=1036&bih=670&q=related:https://www.dr.dk/nyheder/indland/psykiatere-undlod-fortaelle-om-fejl&sa=X&ved=2ahUKEwjEoMan8Mb5AhWaD-wKHYhFB5c4WhAfegQIEhAJ
555,https://www.dr.dk/nyheder/billedserie-lise-noergaard-95-aar
556,https://www.dr.dk/nyheder/regionale/syd/virksomhederne-i-syddanmark-har-voksevaerk
557,https://www.dr.dk/Nyheder/Baggrund/2012/06/23084741.htm?focusId=4216801
660,https://www.dr.dk/Nyheder/Artikler/2012/06/26/074740.htm?focusId=3117592
