,links
0,https://www.dr.dk/nyheder/seneste/velkommen-til-2021
1,https://www.dr.dk/nyheder/indland/videodagbog-fra-fronten-jeg-kan-slet-ikke-overskue-taenke-paa-det-her-bliver-ved-i
2,https://www.dr.dk/nyheder/nyt-forskningsprojekt-skal-vise-paalideligheden-af-lyntest?focusId=4072318
3,https://www.dr.dk/nyheder/seneste/statsministeren-haaber-paasken-bliver-vendepunktet-corona
4,https://www.dr.dk/nyheder/kultur/tema/loevens-hule-2021-0
5,https://www.dr.dk/nyheder/udland/valg-i-usa/stillingen
6,https://www.dr.dk/nyheder/seneste/dansk-challenger-fly-skal-ogsaa-i-2021-hjaelpe-med-overvaage-eus-graenser
7,https://www.dr.dk/nyheder/seneste/flot-dag-venter-naar-taagen-er-vaek
8,https://www.dr.dk/nyheder/udland/da-trump-tilhaengere-stormede-kongressen-her-er-hvad-vi-ved-der-skete
9,/search?source=univ&tbm=isch&q=%22jan.+2021%22+AND+%22sygeplejersker*%22+site:https://www.dr.dk/nyheder/&fir=Xu-GKDizdReUYM%252ClpVKJGiZxAlxIM%252C_%253BMaAYehP4w0j4aM%252CqTIX5WiAATLWZM%252C_%253BVxaccE9nJvyj_M%252Cs6uhempGVBYtgM%252C_%253By2w58_4vR-xKXM%252ClpVKJGiZxAlxIM%252C_%253BONRz5QYuDpJCjM%252ClpVKJGiZxAlxIM%252C_%253BaNUn8tFaO9mkpM%252CSbSCKK6xY0wHYM%252C_%253BZ0K63Kohye-_UM%252Cr7HqsWbDVOV2JM%252C_%253BJjKlXCDPCNqqeM%252CqTIX5WiAATLWZM%252C_%253B8LErIjWOj3VgaM%252C0GPoXmANQw8aPM%252C_%253B5Jxq2aUNPv0UtM%252CAn5mMS8igevLhM%252C_&usg=AI4_-kSJ9B2OHxBB_hV2S3Y57Rk8DYD02w&sa=X&ved=2ahUKEwjNwsOAncf5AhWgXfEDHWm5BeIQjJkEegQIGhAC
10,/search?source=univ&tbm=isch&q=%22jan.+2021%22+AND+%22sygeplejersker*%22+site:https://www.dr.dk/nyheder/&fir=Xu-GKDizdReUYM%252ClpVKJGiZxAlxIM%252C_%253BMaAYehP4w0j4aM%252CqTIX5WiAATLWZM%252C_%253BVxaccE9nJvyj_M%252Cs6uhempGVBYtgM%252C_%253By2w58_4vR-xKXM%252ClpVKJGiZxAlxIM%252C_%253BONRz5QYuDpJCjM%252ClpVKJGiZxAlxIM%252C_%253BaNUn8tFaO9mkpM%252CSbSCKK6xY0wHYM%252C_%253BZ0K63Kohye-_UM%252Cr7HqsWbDVOV2JM%252C_%253BJjKlXCDPCNqqeM%252CqTIX5WiAATLWZM%252C_%253B8LErIjWOj3VgaM%252C0GPoXmANQw8aPM%252C_%253B5Jxq2aUNPv0UtM%252CAn5mMS8igevLhM%252C_&usg=AI4_-kSJ9B2OHxBB_hV2S3Y57Rk8DYD02w&sa=X&ved=2ahUKEwjNwsOAncf5AhWgXfEDHWm5BeIQ420oAHoECBoQBg
11,/search?source=univ&tbm=isch&q=%22jan.+2021%22+AND+%22sygeplejersker*%22+site:https://www.dr.dk/nyheder/&fir=Xu-GKDizdReUYM%252ClpVKJGiZxAlxIM%252C_%253BMaAYehP4w0j4aM%252CqTIX5WiAATLWZM%252C_%253BVxaccE9nJvyj_M%252Cs6uhempGVBYtgM%252C_%253By2w58_4vR-xKXM%252ClpVKJGiZxAlxIM%252C_%253BONRz5QYuDpJCjM%252ClpVKJGiZxAlxIM%252C_%253BaNUn8tFaO9mkpM%252CSbSCKK6xY0wHYM%252C_%253BZ0K63Kohye-_UM%252Cr7HqsWbDVOV2JM%252C_%253BJjKlXCDPCNqqeM%252CqTIX5WiAATLWZM%252C_%253B8LErIjWOj3VgaM%252C0GPoXmANQw8aPM%252C_%253B5Jxq2aUNPv0UtM%252CAn5mMS8igevLhM%252C_&usg=AI4_-kSJ9B2OHxBB_hV2S3Y57Rk8DYD02w&sa=X&ved=2ahUKEwjNwsOAncf5AhWgXfEDHWm5BeIQ7Al6BAgaEA8
24,https://www.dr.dk/nyheder/seneste/321-smittede-med-coronavirus-i-lyntest
